MatrixSize,NumProcesses,SequentialTime,ParallelTime
120,1,0.41300058364868164,0.4037790000002133
240,1,3.511747360229492,3.3147511999995913
360,1,11.070713758468628,12.7811165000021
480,1,26.684383869171143,36.21662700000161
600,1,60.11166954040527,59.06300680000277
720,1,113.63408088684082,99.65310730000783
840,1,194.6831727027893,146.60755489999428
960,1,283.79617619514465,221.58422960000462
1200,1,424.91773104667664,426.7889579999901
1320,1,578.6620180606842,595.9682114000025
120,1,0.4075429439544678,0.40412929999729386
240,1,3.207993268966675,3.233964700000797
360,1,10.903562307357788,10.892837800001871
480,1,25.95416283607483,25.89497389999815
600,1,50.747735023498535,50.9229849000003
720,1,87.88551688194275,88.36165500000061
840,1,140.62997460365295,140.42749280000135
960,1,210.6249384880066,209.7411647000008
1200,1,412.09270429611206,413.1991767999971
1320,1,548.5141201019287,549.9504676999968
