MatrixSize,NumProcesses,SequentialTime,ParallelTime
120,25,0.4100227355957031,0.05781610000121873
240,25,3.2509889602661133,0.3591070000002219
360,25,11.125717878341675,1.117617900001278
480,25,26.26344871520996,2.596605599999748
600,25,50.36691689491272,4.940533400000277
720,25,87.39184522628784,8.535401800001637
840,25,140.93487405776978,13.646022599999924
960,25,208.33591294288635,20.322402600000714
1200,25,413.7104027271271,39.812827100000504
1320,25,550.018965959549,52.7584139999999
