MatrixSize,NumProcesses,SequentialTime,ParallelTime
120,64,0.41773414611816406,0.25116740001249127
240,64,3.260952949523926,0.6912037000001874
360,64,11.027660369873047,1.5002163000026485
480,64,26.39422369003296,3.0925962000037543
600,64,51.691410541534424,5.618943000008585
720,64,88.91858339309692,9.314828399990802
840,64,141.77230167388916,14.601342299996759
960,64,209.89290308952332,21.582695100005367
1200,64,412.5769000053406,41.66950069999439
1320,64,548.4064438343048,55.329005999999936
