MatrixSize,NumProcesses,SequentialTime,ParallelTime
120,36,0.4110686779022217,0.12363689999983762
240,36,3.244112014770508,0.4090044999993552
360,36,10.965523719787598,1.1805640000002313
480,36,25.814860582351685,2.5904772999983834
600,36,49.96943974494934,4.9412175999987085
720,36,86.71798133850098,8.447118399999454
840,36,138.8128113746643,13.544936899999811
960,36,207.2910852432251,19.97297299999991
1200,36,407.62131571769714,39.144876999998814
1320,36,544.6892223358154,52.00884869999936
