MatrixSize,NumProcesses,SequentialTime,ParallelTime
120,16,0.4129984378814697,0.05707530000108818
240,16,3.239612579345703,0.3643804999992426
360,16,10.923962831497192,1.129536200000075
480,16,26.1169536113739,2.6078331000007893
600,16,50.549506425857544,4.990865899999335
720,16,87.48137640953064,8.610039099999995
840,16,140.86249995231628,13.56814420000046
960,16,209.7575387954712,20.17156960000102
1200,16,409.32242727279663,39.157210100001976
1320,16,544.8958284854889,51.543002200000046
